Name,Category,Commission,Link
Systeme.io,Marketing Platform / Funnel,60% Recurring Lifetime,https://systeme.io/?sa=sa027361278257281d933cac163858d864834b8685
Webflow,Website Builder,50% Recurring (12 months),https://webflow.com/affiliates
ClickFunnels,Marketing Funnel,40% Recurring Lifetime,https://www.clickfunnels.com/affiliates
Leadpages,Landing Page / Marketing,Up to 50% Recurring Lifetime,https://www.leadpages.com/affiliates
Notion,Productivity / Knowledge Management,50% Recurring (12 months),https://www.notion.com/affiliates
Bubble,No-code App Builder,35% Recurring (12 months),https://bubble.io/affiliate
Kit (ConvertKit),Email Marketing / No-code,30% Recurring Lifetime,https://kit.com/affiliates
Softr,No-code App Builder,30% Recurring Lifetime,https://www.softr.io/affiliate-program
Carrd,One-page Website Builder,30% Recurring Lifetime,https://carrd.co/affiliates
Zapier,Automation,25% Recurring (12 months),https://zapier.com/affiliates
Make,Automation,20% Recurring (12 months),https://www.make.com/en/register?pc=stackcompare
Ghost,Publishing / Newsletter,30% Recurring Lifetime,https://ghost.org/affiliates
Circle,Community Platform,20% Recurring Lifetime,https://circle.so/affiliates
Jotform,Forms / No-code,30% Recurring Lifetime,https://www.jotform.com/affiliate-program/
Framer,Website Builder,50% of first year,https://www.framer.com/affiliates
Beehiiv,Newsletter / No-code,50% Recurring (12 months),https://www.beehiiv.com/affiliates
Unbounce,Landing Page Builder,20% Recurring Lifetime,https://unbounce.com/affiliates
Memberstack,Auth / Payments,50% Recurring (12 months),https://www.memberstack.com/affiliates
Podia,Courses / Digital Products,30% Recurring Lifetime,https://www.podia.com/affiliates
Kajabi,All-in-one Courses,30% Recurring Lifetime,https://kajabi.com/affiliates
ActiveCampaign,Email / CRM,20-30% Recurring Lifetime,https://www.activecampaign.com/partner/affiliate
GetResponse,Email Marketing,33% Recurring Lifetime,https://www.getresponse.com/affiliate-programs
AWeber,Email Marketing,30% Recurring Lifetime,https://www.aweber.com/affiliates.htm
MailerLite,Email Marketing,30% Recurring Lifetime,https://www.mailerlite.com/affiliate-program
Shopify,E-commerce,$150+ One-time Bounty,https://www.shopify.com/affiliates
BigCommerce,E-commerce,200% of first month ($1.5k max),https://www.bigcommerce.com/affiliates
Ecwid,E-commerce,20% Recurring Lifetime,https://www.ecwid.com/affiliates
Lemon Squeezy,Payments / SaaS,30% Recurring Lifetime,https://www.lemonsqueezy.com/affiliates
Gumroad,Digital Products,10% per sale,https://gumroad.com/affiliates
Payhip,E-commerce,50% Recurring Lifetime,https://payhip.com/affiliates
Dorik,Website Builder,40% Recurring Lifetime,https://dorik.com/affiliate
Ycode,Website Builder,50% Recurring (24 months),https://www.ycode.com/affiliate
Pixpa,Website Builder,55% Recurring (12 months),https://www.pixpa.com/affiliate
Adalo,No-code App Builder,20% Recurring Lifetime,https://www.adalo.com/affiliates
Glide,No-code App Builder,20% Recurring Lifetime,https://www.glideapps.com/affiliates
Mighty Networks,Community / Courses,20% Recurring Lifetime,https://www.mightynetworks.com/affiliates
Circle.so,Community Platform,20% Recurring Lifetime,https://circle.so/affiliates
Teachable,Online Courses,30% Recurring Lifetime,https://teachable.com/affiliates
Thinkific,Online Courses,30% Recurring Lifetime,https://www.thinkific.com/affiliates
Searchie,Video / SaaS,30% Recurring Lifetime,https://searchie.io/affiliates
Pabbly Connect,Automation,30% Recurring Lifetime,https://www.pabbly.com/connect-affiliates/
Integrately,Automation,25% Recurring Lifetime,https://integrately.com/affiliate-program
Typeform,Online Forms,20% Recurring Lifetime,https://www.typeform.com/affiliates
Tally.so,Online Forms,20% Recurring Lifetime,https://tally.so/help/affiliate-program
MemberSpace,Membership SaaS,25% Recurring Lifetime,https://www.memberspace.com/affiliates
Outseta,All-in-one SaaS,25% Recurring Lifetime,https://www.outseta.com/affiliate-program
Strikingly,Website Builder,30% of first year,https://www.strikingly.com/affiliate
Wix,Website Builder,$100+ One-time per sale,https://www.wix.com/about/affiliates
Squarespace,Website Builder,$100-$200 One-time per sale,https://www.squarespace.com/affiliates
Airtable,Database / No-code,20% Recurring (12 months),https://airtable.com/affiliates
ChatGPT,AI Assistant,N/A,https://chatgpt.com/
Claude,AI Assistant,N/A,https://claude.ai/
Gemini,AI Assistant,N/A,https://gemini.google.com/
Perplexity,AI Assistant,N/A,https://www.perplexity.ai/
Dify,AI Agent Builder,N/A,https://dify.ai/
Coze,AI Agent Builder,N/A,https://www.coze.com/
Flowise,AI Agent Builder,N/A,https://flowiseai.com/
Langflow,AI Agent Builder,N/A,https://www.langflow.org/
Midjourney,AI Image Generation,N/A,https://www.midjourney.com/
Stable Diffusion,AI Image Generation,N/A,https://stability.ai/stable-image
Leonardo AI,AI Image Generation,N/A,https://leonardo.ai/
Ideogram,AI Image Generation,N/A,https://ideogram.ai/
Obsidian,Productivity / Knowledge Management,N/A,https://obsidian.md/
Coda,Productivity / Knowledge Management,N/A,https://coda.io/
ClickUp,Productivity / Knowledge Management,N/A,https://clickup.com/
Canva,Design,N/A,https://www.canva.com/
Figma,Design,N/A,https://www.figma.com/
Miro,Design,N/A,https://miro.com/
FigJam,Design,N/A,https://www.figma.com/figjam/
